No;Kode Produk;Nama Produk;Jenis Produk;Satuan;Type;Periode;QTY;HPP;Jumlah;Suplier;
1186;MOK;MAKARONI ORI KIORY;Asin;BALL 1 KG;In;2024-10;50;40000;2000000; Zidan Snack ;
1187;MRB;MAKARONI RUJAK BALI ;Pedas;BALL 1 KG;In;2024-10;100;40000;4000000; Zidan Snack ;
1188;MT;MAKARONI TABUR;Pedas;BALL 1 KG;In;2024-10;30;40000;1200000; Zidan Snack ;
1189;MPK;ManisAN PALA KERING;Manis;BALL 4 KG;In;2024-10;50;200000;10000000; Zidan Snack ;
1190;MM;MARNING ;Asin;BALL 2 KG;In;2024-10;50;60000;3000000; Zidan Snack ;
1191;MCBM;MARNING CAP BOGOR MAS;Asin;BALL 2 KG;In;2024-10;65;100000;6500000; Subur Jaya ;
1192;MJS;MARNING JAGUNG AJI SUKA;Asin;BALL 2 KG;In;2024-10;50;80000;4000000; Subur Jaya ;
1193;MGS;MIE GULUNG ORI/Pedas SDP;Pedas;BALL 1 KG;In;2024-10;50;50000;2500000; Subur Jaya ;
1194;PM;PANGSIT MAWAR;Pedas;BALL 1 KG;In;2024-10;50;50000;2500000; Subur Jaya ;
1195;PTB;PILUS TIGA BURUNG ;Asin;BALL 1 KG;In;2024-10;50;30000;1500000; Subur Jaya ;
1196;PAM;PISANG AROMA MAUYUT;Manis;BALL 2 KG;In;2024-10;50;50000;2500000; Subur Jaya ;
1197;PAS;PISANG ASIN SDP;Asin;BALL 2 KG;In;2024-10;50;60000;3000000; Subur Jaya ;
1198;PST;POKEN STIK TAKARA;Asin;BALL 1 KG;In;2024-10;50;50000;2500000; Subur Jaya ;
1199;PBR;POTATO BULAT BALADO RIORY;Pedas;BALL 1 KG;In;2024-10;40;40000;1600000; Subur Jaya ;
1200;PKR;POTATO  KOTAK RYORI;Asin;BALL 1 KG;In;2024-10;150;30000;4500000; Subur Jaya ;
1201;SA;SIOMAY AZAHRA;Pedas;BALL 1 KG;In;2024-10;30;40000;1200000; Delvi Jaya ;
1202;SB;SALE BASAH ;Manis;BALL 1 KG;In;2024-10;40;30000;1200000; Delvi Jaya ;
1203;SBM;SINGKONG BALADO MJ;Pedas;BALL 2 KG;In;2024-10;35;80000;2800000; Delvi Jaya ;
1204;ST;SINGKONG TES ;Asin;BALL 2 KG;In;2024-10;20;100000;2000000; Delvi Jaya ;
1205;SV;SEBLAK VIRAL;Pedas;BALL 1 KG;In;2024-10;85;40000;3400000; Bumi Sari Cianjur  ;
1206;SM;SISTIK MAWAR;Asin;BALL 1 KG;In;2024-10;20;50000;1000000; Bumi Sari Cianjur  ;
1207;SBT;STIK BALADO TAKARA;Pedas;BALL 1 KG;In;2024-10;20;40000;800000; Bumi Sari Cianjur  ;
1208;SUL;SUMPIA UDANG JAYA LAKSANA ;Asin;BALL 2 KG;In;2024-10;30;80000;2400000; Bumi Sari Cianjur  ;
1209;TGW;TELOR GABUS WIJEN ;Asin;BALL 2 KG;In;2024-10;50;60000;3000000; Bumi Sari Cianjur  ;
1210;TGT;TELOR GABUS TJ;Asin;BALL 1 KG;In;2024-10;50;25000;1250000; Bumi Sari Cianjur  ;
1211;APA;ASTOR PANJANG ALADIN;Manis;BALL 4 KG;In;2024-11;30;120000;3600000; Abadi Jaya Perkasa ;
1212;AMA;ASTOR MINI ALADIN;Manis;BALL 4 KG;In;2024-11;60;110000;6600000; Abadi Jaya Perkasa ;
1213;APV;ASTOR PANJANG VALEO ;Manis;BALL 4 KG;In;2024-11;40;120000;4800000; Abadi Jaya Perkasa ;
1214;BI;BAGELEN ION;Manis;BALL 1 KG;In;2024-11;45;40000;1800000; Abadi Jaya Perkasa ;
1215;B2B;BANPOL 2 BURUNG;Asin;BALL 2 KG;In;2024-11;30;100000;3000000; Abadi Jaya Perkasa ;
1216;BK;BANTAL KEJU;Asin;BALL 1 KG;In;2024-11;40;40000;1600000; Mandiri Snack ;
1217;BA;BASRENG ATO;Pedas;BALL 2 KG;In;2024-11;60;50000;3000000; Mandiri Snack ;
1218;BO;BATAGOR ORI;Asin;BALL 2 KG;In;2024-11;60;50000;3000000; Mandiri Snack ;
1219;BPD;BOLA PELANGI DUO;Manis;BALL 4 KG;In;2024-11;60;100000;6000000; Mandiri Snack ;
1220;BSA;BOLU S AZZAHRA;Manis;BALL 1 KG;In;2024-11;60;40000;2400000; Mandiri Snack ;
1221;BKT;BROWNIS KARAKTER;Manis;BALL 1 KG;In;2024-11;40;50000;2000000; Mandiri Snack ;
1222;CO;CIKIBUL OSAKA;Manis;BALL 1 KG;In;2024-11;60;40000;2400000; Mandiri Snack ;
1223;CW;CIPUT WAYANG ;Asin;BALL 1 KG;In;2024-11;60;50000;3000000; Mandiri Snack ;
1224;CC;COCOSTIK;Manis;BALL 1 KG;In;2024-11;45;20000;900000; Mandiri Snack ;
1225;CP;COMBRING PEDAS;Pedas;BALL 1 KG;In;2024-11;40;40000;1600000; Mandiri Snack ;
1226;GD;GURILEM DASYAT;Pedas;BALL 1 KG;In;2024-11;60;30000;1800000; Mandiri Snack ;
1227;GL;GURILEM LYDIA;Pedas;BALL 1 KG;In;2024-11;60;30000;1800000; Mandiri Snack ;
1228;KAB;KACANG ATOM BIMA ;Asin;BALL 2 KG;In;2024-11;40;80000;3200000; Mandiri Snack ;
1229;KBA;KACANG BANDUNG ALADIN;Asin;BALL 2 KG;In;2024-11;60;120000;7200000; Mandiri Snack ;
1230;KK;KACANG KEDELAI;Asin;BALL 2 KG;In;2024-11;60;90000;5400000; Mandiri Snack ;
1231;KM;KACANG MIX;Asin;BALL 2 KG;In;2024-11;55;90000;4950000; SDP ;
1232;KTA;KACANG TELOR AMPERA;Asin;BALL 2 KG;In;2024-11;60;10000;600000; SDP ;
1233;KTP;KACANG TOBA PEDAS;Pedas;BALL 2 KG;In;2024-11;60;80000;4800000; SDP ;
1234;KCI;KEMPLANG CAP IKAN ;Asin;BALL 1 KG;In;2024-11;45;50000;2250000; SDP ;
1235;KKW;KERUPUK KEMPLANG WHR;Asin;BALL 1 KG;In;2024-11;30;50000;1500000; SDP ;
1236;KMW;KUE MARIE WIJEN;Asin;BALL 2 KG;In;2024-11;45;80000;3600000; Zidan Snack ;
1237;KPM;KUPING MINI;Manis;BALL 1 KG;In;2024-11;40;25000;1000000; Zidan Snack ;
1238;LU;LADU UNGU;Manis;BALL 1 KG;In;2024-11;60;40000;2400000; Zidan Snack ;
1239;MC;MAKARONI CIKRUH;Pedas;BALL 1 KG;In;2024-11;60;50000;3000000; Zidan Snack ;
1240;MCM;MAKARONI CIKRUH MAWARASA;Pedas;BALL 1 KG;In;2024-11;40;50000;2000000; Zidan Snack ;
1241;MOK;MAKARONI ORI KIORY;Asin;BALL 1 KG;In;2024-11;60;40000;2400000; AJP ;
1242;MRB;MAKARONI RUJAK BALI ;Pedas;BALL 1 KG;In;2024-11;110;40000;4400000; AJP ;
1243;MT;MAKARONI TABUR;Pedas;BALL 1 KG;In;2024-11;40;40000;1600000; AJP ;
1244;MPK;ManisAN PALA KERING;Manis;BALL 4 KG;In;2024-11;60;200000;12000000; AJP ;
1245;MM;MARNING ;Asin;BALL 2 KG;In;2024-11;60;60000;3600000; AJP ;
1246;MCBM;MARNING CAP BOGOR MAS;Asin;BALL 2 KG;In;2024-11;45;100000;4500000; Subur Jaya ;
1247;MJS;MARNING JAGUNG AJI SUKA;Asin;BALL 2 KG;In;2024-11;40;80000;3200000; Subur Jaya ;
1248;MGS;MIE GULUNG ORI/Pedas SDP;Pedas;BALL 1 KG;In;2024-11;60;50000;3000000; Subur Jaya ;
